"Albert Einstein","I lived in solitude in the country and noticed how the monotony of a quiet life stimulates the creative mind.",07282765
"Albert Einstein","""One should guard against preaching to young people success in the customary form as the main aim in life. The most important motive for work in school and in life is pleasure in work, pleasure in its result, and the knowledge of the value of the result to the community.""",2d2180f0
"Albert Einstein","The only thing that interferes with my learning is my education.",e5da2450
"Albert Einstein","To know is nothing at all; to imagine is everything.",e01297b3
"Albert Einstein","""I know not with what weapons World War III will be fought, but World War IV will be fought with sticks and stones.""",21a7cd0a
"Albert Einstein","The true sign of intelligence is not knowledge but imagination.",7a1be787
"Albert Einstein","""I live in that solitude which is painful in youth, but delicious in the years of maturity.""",f0483b16
"Albert Einstein","Politics is a pendulum whose swings between anarchy and tyranny are fueled by perennially rejuvenated illusions.",835fc4c5
"Albert Einstein","""Bear in mind that the wonderful things you learn in your schools are the work of many generations. All this is put in your hands as your inheritance in order that you may receive it, honor it, add to it, and one day faithfully hand it on to your children.""",bac4613c
"Albert Einstein","Don't listen to the person who has the answers; listen to the person who has the questions.",f4c1908a
"Albert Einstein","Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.",0b742ff0
"Albert Einstein","""Confusion of goals and perfection of means seems, in my opinion, to characterize our age.""",e225721a
"Albert Einstein","The best design is the simplest one that works.",728c28d4
"Albert Einstein","""To raise new questions, new possibilities, to regard old problems from a new angle, requires creative imagination and marks real advance in science.""",a86b5521
"Albert Einstein","""A man must learn to understand the motives of human beings, their illusions, and their sufferings.""",07060026
"Albert Einstein","The road to perdition has ever been accompanied by lip service to an ideal.",10ced107
"Albert Einstein","In a sailboat I become oblivious to everything else in the world.",9da33a43
"Albert Einstein","Our task must be to free ourselves by widening our circle of compassion to embrace all living creatures and the whole of nature and its beauty.",28ad1d77
"Albert Einstein","God does not play dice with the universe.",7cb55ae0
"Albert Einstein","""Don't dream of being a good person, be a human being is valuable and gives value to life.""",611890e1
"Albert Einstein","Paper is to write things down that we need to remember. Our brains are used to think.",70a6c2a4
"Albert Einstein","""Once we accept our limits, we go beyond them.""",4cb47ad8
"Albert Einstein","It is the supreme art of the teacher to awaken joy in creative expression and knowledge.",f5e0679e
"Albert Einstein","""Knowledge exists in two forms-lifeless, stored in books, and alive, in the consciousness of men. The second form of existence is after all the essential one; the first, indispensable as it may be, occupies only an inferior position.""",ffd60bd8
"Albert Einstein","""I do not believe in immortality of the individual, and I consider ethics to be an exclusively human concern with no superhuman authority behind it.""",394bda1f
"Albert Einstein","Do you really believe that the moon isn't there when nobody looks?",f44f5270
"Albert Einstein","Feeling and longing are the motive forces behind all human endeavor and human creations.",6f2e5ce5
"Albert Einstein","""Growth comes through analogy; through seeing how things connect, rather than only seeing how they might be different.""",af3a3a7b
"Albert Einstein","The Universe is stranger than we imagine!",00032b8c
"Albert Einstein","Formal symbolic representation of qualitative entities is doomed to its rightful place of minor significance in a world where flowers and beautiful women abound.",389ba7df
"Albert Einstein","The mind that opens to a new idea never returns to its original size.",e10f4860
"Albert Einstein","Whoever is careless with the truth in small matters cannot be trusted with the important matters.",72c4e9c0
"Albert Einstein","""We dance for laughter, we dance for tears, we dance for madness, we dance for fears, we dance for hopes, we dance for screams, we are the dancers, we create the dreams.""",db55a0b4
"Albert Einstein","I must be willing to give up what I am in order to become what I will be.",ff987755
"Albert Einstein","Nothing is more destructive of respect for the government and the law of the land than passing laws which cannot be enforced.",cba22fb8
"Albert Einstein","""If I were to remain silent, I'd be guilty of complicity.""",38763615
"Albert Einstein","You have to color outside the lines once in a while if you want to make your life a masterpiece.",1623b3b7
"Albert Einstein","It is the duty of every citizen according to his best capacities to give validity to his convictions in political affairs.",86536932
"Albert Einstein","""Heroism on command, senseless violence, and all the loathsome nonsense that goes by the name of patriotism - how passionately I hate them!""",cfa2e669
"Albert Einstein","Earth is the insane asylum of the universe.",07f891df
"Albert Einstein","""We are part of the whole which we call the universe, but it is an optical delusion of our mind that we think we are separate. This separateness is like a prison for us. Our job is to widen the circle of our compassion so we feel connected with all people and situations.""",478bf579
"Albert Einstein","""If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.""",0e2b75d3
"Albert Einstein","Only those who attempt the absurd can achieve the impossible.",7f07fda8
"Albert Einstein","Work is the only thing that gives substance to life.",c77d7790
"Albert Einstein","Concepts that have proven useful in ordering things easily achieve such authority over us that we forget their earthly origins and accept them as unalterable givens.",622d459b
"Albert Einstein","""It is important to foster individuality, for only the individual can produce the new ideas.""",c90e5517
"Albert Einstein","The only real valuable thing is intuition.",6fc29edf
"Albert Einstein","It is better to believe than to disbelieve; in doing you bring everything to the realm of possibility.",bbfde5f9
"Albert Einstein","My pacifism is not based on any intellectual theory but on a deep antipathy to every form of cruelty and hatred.",d4de871d
"Albert Einstein","The health of society thus depends quite as much on the independence of the individuals composing it as on their close political cohesion.",5b57abd8
